town,year,factual,model,min_value,max_value,indicator_nan
Белокуриха,2000,,15400.0,15100.0,15700.0,True
Белокуриха,2001,,15400.0,15100.0,15700.0,True
Белокуриха,2002,,15400.0,15000.0,15700.0,True
Белокуриха,2003,,15300.0,15000.0,15700.0,True
Белокуриха,2004,,15300.0,14900.0,15600.0,True
Белокуриха,2005,,15200.0,14800.0,15500.0,True
Белокуриха,2006,,15100.0,14700.0,15400.0,True
Белокуриха,2007,,15000.0,14600.0,15300.0,True
Белокуриха,2008,14781.0,14900.0,14600.0,15200.0,False
Белокуриха,2009,14781.0,14800.0,14500.0,15100.0,False
Белокуриха,2010,14701.0,14700.0,14400.0,15100.0,False
Белокуриха,2011,14516.0,14700.0,14400.0,15000.0,False
Белокуриха,2012,14375.0,14700.0,14400.0,15000.0,False
Белокуриха,2013,14435.0,14700.0,14400.0,15000.0,False
Белокуриха,2014,14701.0,14700.0,14400.0,15000.0,False
Белокуриха,2015,14974.0,14700.0,14400.0,15100.0,False
Белокуриха,2016,15168.0,14800.0,14500.0,15100.0,False
Белокуриха,2017,15221.0,14900.0,14500.0,15200.0,False
Белокуриха,2018,15170.0,14900.0,14600.0,15300.0,False
Белокуриха,2019,15176.0,15000.0,14700.0,15400.0,False
Белокуриха,2020,15176.0,15100.0,14800.0,15500.0,False
Белокуриха,2021,,15200.0,14900.0,15600.0,True
Белокуриха,2022,,15300.0,15000.0,15700.0,True
Белокуриха,2023,,15400.0,15100.0,15800.0,True
Белокуриха,2024,,15600.0,15200.0,15900.0,True
Белокуриха,2025,,15700.0,15300.0,16000.0,True
Белокуриха,2026,,15800.0,15500.0,16100.0,True
Белокуриха,2027,,15900.0,15600.0,16200.0,True
Белокуриха,2028,,16000.0,15700.0,16300.0,True
Белокуриха,2029,,16100.0,15800.0,16500.0,True
Белокуриха,2030,,16200.0,15900.0,16600.0,True
Белокуриха,2031,,16300.0,16000.0,16700.0,True
Белокуриха,2032,,16500.0,16100.0,16800.0,True
Белокуриха,2033,,16600.0,16200.0,16900.0,True
Белокуриха,2034,,16700.0,16300.0,17000.0,True
Белокуриха,2035,,16800.0,16500.0,17100.0,True
Белокуриха,2036,,16900.0,16600.0,17200.0,True
Белокуриха,2037,,17000.0,16700.0,17300.0,True
Белокуриха,2038,,17100.0,16800.0,17500.0,True
Белокуриха,2039,,17200.0,16900.0,17600.0,True
Белокуриха,2040,,17300.0,17000.0,17700.0,True
Белокуриха,2041,,17400.0,17100.0,17800.0,True
Белокуриха,2042,,17500.0,17200.0,17900.0,True
Белокуриха,2043,,17700.0,17300.0,18000.0,True
Белокуриха,2044,,17800.0,17400.0,18100.0,True
Белокуриха,2045,,17900.0,17500.0,18200.0,True
Белокуриха,2046,,18000.0,17600.0,18300.0,True
Белокуриха,2047,,18100.0,17800.0,18400.0,True
Белокуриха,2048,,18200.0,17900.0,18600.0,True
Белокуриха,2049,,18300.0,18000.0,18700.0,True
Белокуриха,2050,,18400.0,18100.0,18800.0,True
Белокуриха,2051,,18600.0,18200.0,18900.0,True
Белокуриха,2052,,18700.0,18300.0,19000.0,True
Белокуриха,2053,,18800.0,18400.0,19100.0,True
Белокуриха,2054,,18900.0,18600.0,19300.0,True
Белокуриха,2055,,19000.0,18700.0,19400.0,True
Белокуриха,2056,,19200.0,18800.0,19500.0,True
Белокуриха,2057,,19300.0,18900.0,19600.0,True
Белокуриха,2058,,19400.0,19000.0,19800.0,True
Белокуриха,2059,,19500.0,19200.0,19900.0,True
Белокуриха,2060,,19600.0,19300.0,20000.0,True
Белокуриха,2061,,19800.0,19400.0,20100.0,True
Белокуриха,2062,,19900.0,19500.0,20300.0,True
Белокуриха,2063,,20000.0,19700.0,20400.0,True
Белокуриха,2064,,20200.0,19800.0,20500.0,True
Белокуриха,2065,,20300.0,19900.0,20600.0,True
Белокуриха,2066,,20400.0,20100.0,20800.0,True
Белокуриха,2067,,20500.0,20200.0,20900.0,True
Белокуриха,2068,,20700.0,20300.0,21000.0,True
Белокуриха,2069,,20800.0,20400.0,21200.0,True
Белокуриха,2070,,20900.0,20600.0,21300.0,True
Белокуриха,2071,,21100.0,20700.0,21400.0,True
Белокуриха,2072,,21200.0,20800.0,21600.0,True
Белокуриха,2073,,21300.0,21000.0,21700.0,True
Белокуриха,2074,,21400.0,21100.0,21800.0,True
Белокуриха,2075,,21600.0,21200.0,21900.0,True
Белокуриха,2076,,21700.0,21300.0,22100.0,True
Белокуриха,2077,,21800.0,21500.0,22200.0,True
Белокуриха,2078,,21900.0,21600.0,22300.0,True
Белокуриха,2079,,22100.0,21700.0,22400.0,True
Белокуриха,2080,,22200.0,21800.0,22600.0,True
Белокуриха,2081,,22300.0,21900.0,22700.0,True
Белокуриха,2082,,22400.0,22100.0,22800.0,True
Белокуриха,2083,,22500.0,22200.0,22900.0,True
Белокуриха,2084,,22600.0,22300.0,23000.0,True
Белокуриха,2085,,22800.0,22400.0,23100.0,True
Белокуриха,2086,,22900.0,22500.0,23300.0,True
Белокуриха,2087,,23000.0,22600.0,23400.0,True
Белокуриха,2088,,23100.0,22700.0,23500.0,True
Белокуриха,2089,,23200.0,22800.0,23600.0,True
Белокуриха,2090,,23300.0,22900.0,23700.0,True
Белокуриха,2091,,23400.0,23000.0,23800.0,True
Белокуриха,2092,,23500.0,23100.0,23900.0,True
Белокуриха,2093,,23600.0,23200.0,24000.0,True
Белокуриха,2094,,23700.0,23300.0,24100.0,True
Белокуриха,2095,,23800.0,23400.0,24200.0,True
Белокуриха,2096,,23900.0,23500.0,24300.0,True
Белокуриха,2097,,24000.0,23600.0,24400.0,True
Белокуриха,2098,,24100.0,23700.0,24400.0,True
Белокуриха,2099,,24100.0,23800.0,24500.0,True
Белокуриха,2100,,24200.0,23800.0,24600.0,True
Белокуриха,2101,,24300.0,23900.0,24700.0,True
Белокуриха,2102,,24400.0,24000.0,24800.0,True
Белокуриха,2103,,24500.0,24100.0,24900.0,True
Белокуриха,2104,,24500.0,24200.0,24900.0,True
Белокуриха,2105,,24600.0,24200.0,25000.0,True
Белокуриха,2106,,24700.0,24300.0,25100.0,True
Белокуриха,2107,,24800.0,24400.0,25200.0,True
Белокуриха,2108,,24800.0,24400.0,25200.0,True
Белокуриха,2109,,24900.0,24500.0,25300.0,True
Белокуриха,2110,,25000.0,24600.0,25400.0,True
Белокуриха,2111,,25000.0,24600.0,25400.0,True
Белокуриха,2112,,25100.0,24700.0,25500.0,True
Белокуриха,2113,,25100.0,24700.0,25500.0,True
Белокуриха,2114,,25200.0,24800.0,25600.0,True
Белокуриха,2115,,25300.0,24900.0,25700.0,True
Белокуриха,2116,,25300.0,24900.0,25700.0,True
Белокуриха,2117,,25400.0,25000.0,25800.0,True
Белокуриха,2118,,25400.0,25000.0,25800.0,True
Белокуриха,2119,,25500.0,25100.0,25900.0,True
Белокуриха,2120,,25500.0,25100.0,25900.0,True
Новоалтайск,2000,,69800.0,68900.0,70800.0,True
Новоалтайск,2001,,70100.0,69100.0,71000.0,True
Новоалтайск,2002,,70400.0,69500.0,71300.0,True
Новоалтайск,2003,,70700.0,69800.0,71600.0,True
Новоалтайск,2004,,70900.0,70000.0,71800.0,True
Новоалтайск,2005,,71000.0,70100.0,71900.0,True
Новоалтайск,2006,,70900.0,70000.0,71800.0,True
Новоалтайск,2007,,70800.0,70000.0,71700.0,True
Новоалтайск,2008,70454.0,70800.0,69900.0,71700.0,False
